analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,iteration,grad_norm,objective_gap_to_reference,relative_error_to_reference
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1540,1.1593232605495528e-06,1.0902806435453272e-11,1.2705152117785012e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,1560,1.226969732606355e-06,1.2165241036754537e-11,1.3405727995609472e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,0,0.9727437350310586,0.35230742109074387,0.9999999999999999
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,20,0.1872143544121196,0.04096035615328586,0.5008668799442323
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,40,0.07401644112623289,0.008124549303522438,0.23679902541428213
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,60,0.02977569321581675,0.001632648819130944,0.1110121896547965
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,80,0.01230141490460549,0.0003265689539756478,0.05142454960034145
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,100,0.005493277248338577,7.11158009697177e-05,0.024109633642507764
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,120,0.0023443727638592653,1.451129601393042e-05,0.011166841581129627
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,140,0.001061353613834975,3.172399454298702e-06,0.0052565712330191194
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,160,0.0004736604276032433,6.860430579180843e-07,0.002483882414707404
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,180,0.0002127134750463719,1.4945377280195515e-07,0.0011760001782933046
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,200,9.80907877494766e-05,3.2890553142150836e-08,0.0005559084364118752
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,220,4.4431178853081165e-05,7.151527231519239e-09,0.0002629379278238233
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,240,2.0550539335694508e-05,1.6053400275772844e-09,0.0001258723989855785
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,260,9.72630940382557e-06,3.6551564552844695e-10,6.0363535751858944e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,280,4.4220068934374464e-06,7.998526840857778e-11,2.8656300071224936e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,300,2.036791842970262e-06,1.7841783606087347e-11,1.3680000295302827e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,320,9.801997850253865e-07,4.125644270658313e-12,6.56480045850303e-06
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,0,0.9727437350310586,0.35230742109074387,0.9999999999999999
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,20,0.17024648689408595,0.06838758546220117,0.6662611139494372
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,40,0.05992274499530382,0.013679795992385085,0.3639624332583402
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,60,0.027957593035928423,0.0027215104646531874,0.16606060931675665
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,80,0.01671182304717844,0.0007694317650714377,0.07325463114668575
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,100,0.012209036594475788,0.000517312516939622,0.0649606467388789
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,120,0.009122960479452937,0.000351528256102962,0.06002305302278384
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,140,0.006701190168593855,0.00018275533241476905,0.043191693876654155
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,160,0.004980492199804493,9.277939760260479e-05,0.02838960503823538
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,180,0.004155646624165362,6.911485624389035e-05,0.024976565508291564
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,200,0.0035510248171659532,5.720729171254657e-05,0.024420105605347506
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,220,0.002896992522614123,3.854762590121963e-05,0.020226910541186454
