algorithm,sparsity,hidden_nodes,computational_time_seconds,epsilon,converged,iterations,final_gradient_norm,q_dimension,n_train,n_test,n_features,n_classes,lambda_reg,estimated_L,mu,condition_number,alpha,beta
LDLT,0.1,16000,316.68775441699836,0.001,True,0,9.603855656239772e-14,16001,1000,350,100,4,0.005,4521.995313758796,0.005,904399.0627517592,,
Heavy Ball,0.5,500,0.1895970409968868,0.001,True,677,0.0008665889208179955,501,1000,350,100,4,0.005,135.7607687004932,0.005,27152.153740098638,0.02910920877824531,0.9760170530208094
Nesterov,0.5,500,0.17652974999509752,0.001,True,541,0.0009980875085163076,501,1000,350,100,4,0.005,135.7607687004932,0.005,27152.153740098638,0.007365898186729751,0.9879357534884591
LDLT,0.5,500,0.15843512500578072,0.001,True,0,3.764990438032952e-15,501,1000,350,100,4,0.005,135.7607687004932,0.005,27152.153740098638,,
Heavy Ball,0.5,1000,0.5257940419978695,0.001,True,961,0.0009709208491841772,1001,1000,350,100,4,0.005,277.3165349870643,0.005,55463.30699741286,0.014302233370847047,0.9831586560732594
Nesterov,0.5,1000,0.5455320829933044,0.001,True,831,0.000996000461343869,1001,1000,350,100,4,0.005,277.3165349870643,0.005,55463.30699741286,0.0036059876489032503,0.9915435724532026
LDLT,0.5,1000,0.5594967499928316,0.001,True,0,7.2144654547636e-15,1001,1000,350,100,4,0.005,277.3165349870643,0.005,55463.30699741286,,
Heavy Ball,0.5,2000,2.4390759999951115,0.001,True,1465,0.0009642502526928335,2001,1000,350,100,4,0.005,556.8056596435677,0.005,111361.13192871353,0.007140973186039692,0.9880849951078953
Nesterov,0.5,2000,2.648635000005015,0.001,True,1234,0.0009974590252083792,2001,1000,350,100,4,0.005,556.8056596435677,0.005,111361.13192871353,0.0017959587563103037,0.9940246451209825
LDLT,0.5,2000,2.00887145800516,0.001,True,0,1.1166079405813749e-14,2001,1000,350,100,4,0.005,556.8056596435677,0.005,111361.13192871353,,
Heavy Ball,0.5,4000,5.902830791994347,0.001,True,2001,0.0005238307923583338,4001,1000,350,100,4,0.005,1118.0712122349814,0.005,223614.24244699627,0.0035625064045597095,0.9915768334364913
