analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,iteration,grad_norm,objective_gap_to_reference,relative_error_to_reference
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13160,3.52732580624417e-06,2.064686269176441e-09,0.00023897177229435188
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13180,3.580624854868833e-06,2.164301918239353e-09,0.0002476623493514582
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13200,3.5976093082472103e-06,2.2153957834891713e-09,0.0002529879112893897
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13220,3.57375361608465e-06,2.212788438593627e-09,0.0002547360278087787
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13240,3.5133704023611385e-06,2.1596828214676123e-09,0.00025295180589692847
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13260,3.4288674544878984e-06,2.0665138211750644e-09,0.0002479063284917655
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13280,3.3372772178484962e-06,1.9480880936173506e-09,0.00024005783272387532
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13300,3.2548169751848065e-06,1.820007533570589e-09,0.00023000915971021422
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13320,3.1915876748206983e-06,1.6956038240145688e-09,0.00021846743368277821
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13340,3.1492255516878275e-06,1.584283662592334e-09,0.00020621113482024628
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13360,3.1229337616214657e-06,1.4914671164767412e-09,0.00019406475487658296
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13380,3.106329483689192e-06,1.4195856712362342e-09,0.00018287258411620554
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13400,3.0956851220482363e-06,1.3692657147013065e-09,0.0001734544241762986
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13420,3.0910057184156737e-06,1.340011532291463e-09,0.00016652570569987237
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13440,3.0938254920540747e-06,1.330247384467853e-09,0.00016258405885159256
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13460,3.1037827788122045e-06,1.3371101309500588e-09,0.0001618028753070185
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13480,3.1167352049993273e-06,1.3565657763781047e-09,0.00016399653581790217
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,13500,3.1259557688084466e-06,1.3841550683402204e-09,0.00016868986898798581
