algorithm,dataset,epsilon,initial_gradient_norm,final_gradient_norm,absolute_gap,relative_gap,computational_time_seconds,number_of_iterations,hidden_layer_size,alpha,beta
PyTorch SGD Nesterov,digits,1e-05,26.954915202401498,9.971145988408284e-06,4.076183574702741e-09,4.076183574702741e-09,15.799447833007434,2800,5000,0.0012884342851920332,0.9928467231560706
Heavy Ball,digits,1e-07,26.954915202401498,6.079012796215537e-08,6.869504964868156e-16,6.869504964868156e-16,16.18905612497474,2570,5000,0.005116936960589529,0.9857446156817471
Nesterov,digits,1e-07,26.954915202401498,5.0608794467395295e-06,1.0940213873711357e-09,1.0940213873711357e-09,28.994291042006807,3000,5000,0.0012884342851920332,0.9928467231560706
PyTorch SGD momentum,digits,1e-07,26.954915202401498,6.079013027163006e-08,6.869504964868156e-16,6.869504964868156e-16,14.782749541976955,2570,5000,0.005116936960589529,0.9857446156817471
PyTorch SGD Nesterov,digits,1e-07,26.954915202401498,5.060879446730812e-06,1.0940213873711357e-09,1.0940213873711357e-09,17.617130917002214,3000,5000,0.0012884342851920332,0.9928467231560706
Heavy Ball,digits,0.001,72.169489002453,0.000666962909381041,9.890050394964489e-09,9.890050394964489e-09,39.17999166698428,1986,10000,0.0025842404673358885,0.9898587573409278
Nesterov,digits,0.001,72.169489002453,0.0009976155241145873,2.8767481451592858e-05,2.8767481451592858e-05,31.43543245899491,2175,10000,0.0006493569552982945,0.9949164574681272
PyTorch SGD momentum,digits,0.001,72.169489002453,0.0006669629093816853,9.890050394964489e-09,9.890050394964489e-09,22.525397624995094,1986,10000,0.0025842404673358885,0.9898587573409278
PyTorch SGD Nesterov,digits,0.001,72.169489002453,0.0009976155241144813,2.8767481451592858e-05,2.8767481451592858e-05,24.59775441599777,2175,10000,0.0006493569552982945,0.9949164574681272
Heavy Ball,digits,1e-05,72.169489002453,9.24654543974551e-06,4.799553116052735e-12,4.799553116052735e-12,41.64394112501759,2790,10000,0.0025842404673358885,0.9898587573409278
Nesterov,digits,1e-05,72.169489002453,0.00014109430961627297,7.351252022877452e-07,7.351252022877452e-07,44.37787079199916,3000,10000,0.0006493569552982945,0.9949164574681272
PyTorch SGD momentum,digits,1e-05,72.169489002453,9.246545456782732e-06,4.799556585499687e-12,4.799556585499687e-12,31.38145116699161,2790,10000,0.0025842404673358885,0.9898587573409278
PyTorch SGD Nesterov,digits,1e-05,72.169489002453,0.0001410943096163171,7.351252022860105e-07,7.351252022860105e-07,34.08424029199523,3000,10000,0.0006493569552982945,0.9949164574681272
Heavy Ball,digits,1e-07,72.169489002453,0.00013768002061278654,6.848917266655263e-12,6.848917266655263e-12,42.480107958981534,3000,10000,0.0025842404673358885,0.9898587573409278
Nesterov,digits,1e-07,72.169489002453,0.00014109430961627297,7.351252022877452e-07,7.351252022877452e-07,46.55846925001242,3000,10000,0.0006493569552982945,0.9949164574681272
PyTorch SGD momentum,digits,1e-07,72.169489002453,0.00013768002052340518,6.848915531931787e-12,6.848915531931787e-12,34.225909875007346,3000,10000,0.0025842404673358885,0.9898587573409278
PyTorch SGD Nesterov,digits,1e-07,72.169489002453,0.0001410943096163171,7.351252022860105e-07,7.351252022860105e-07,36.10416295900359,3000,10000,0.0006493569552982945,0.9949164574681272
